raw,norm,count,raw_total,changed_confidence,raw_confidence,pattern
maria,Maria,1,1,1.0,1.0,case_change
cancellieri,Cancellieri,1,1,1.0,1.0,case_change
NOV,novembre,1,1,1.0,1.0,expansion_or_abbreviation_restore
CorSera,Corriere della Sera,1,1,1.0,1.0,whitespace_change
frà,fratello,1,1,1.0,1.0,expansion_or_abbreviation_restore
es,esempio,1,1,1.0,1.0,expansion_or_abbreviation_restore
mò,monica,1,1,1.0,1.0,expansion_or_abbreviation_restore
Vabbene,Va bene,1,1,1.0,1.0,whitespace_change
twitter,Twitter,1,1,1.0,1.0,case_change
dott.ssa,dottoressa,1,1,1.0,1.0,expansion_or_abbreviation_restore
RIFORMA,Riforma,1,1,1.0,1.0,case_change
Terremoto,terremoto,1,1,1.0,1.0,case_change
LARINO,Larino,1,1,1.0,1.0,case_change
trasm,trasmissioni,1,1,1.0,1.0,expansion_or_abbreviation_restore
Messaggero.it,messaggero.it,1,2,1.0,0.5,case_change
ELENA,Elena,1,1,1.0,1.0,case_change
UGOLINI,Ugolini,1,1,1.0,1.0,case_change
COMUNIONE,Comunione,1,1,1.0,1.0,case_change
LIBERAZIONE,Liberazione,1,1,1.0,1.0,case_change
ste,queste,1,1,1.0,1.0,expansion_or_abbreviation_restore
marcegaglia,Marcegaglia,1,1,1.0,1.0,case_change
DIC...,dicembre...,1,1,1.0,1.0,expansion_or_abbreviation_restore
vuoi,Vuoi,1,1,1.0,1.0,case_change
invia,Invia,1,1,1.0,1.0,case_change
profumo,Profumo,1,4,1.0,0.25,case_change
imazzoli,Imazzoli,1,1,1.0,1.0,case_change
priorita',priorità,1,1,1.0,1.0,accent_or_apostrophe_restore
l',L',1,67,1.0,0.0149,case_change
anzikè,anzichè,1,1,1.0,1.0,other_substitution
+,più,1,3,1.0,0.3333,expansion_or_abbreviation_restore
ness,nessuno,1,1,1.0,1.0,expansion_or_abbreviation_restore
AUGURI,auguri,1,1,1.0,1.0,case_change
MIKE,Mike,1,1,1.0,1.0,case_change
MANGINI,Mangini,1,1,1.0,1.0,case_change
DREAM,Dream,1,1,1.0,1.0,case_change
THEATER,Theater,1,1,1.0,1.0,case_change
AUGURIIIIIIIII,auguri,1,1,1.0,1.0,repeated_char_reduction
il,Ol,1,164,0.3333,0.0061,other_substitution
Anchio,Anche io,1,1,1.0,1.0,whitespace_change
xké,perché,1,1,1.0,1.0,expansion_or_abbreviation_restore
sanremo,Sanremo,1,1,1.0,1.0,case_change
nella,nela,1,11,1.0,0.0909,other_substitution
TOP,top,1,1,1.0,1.0,case_change
COMPLETAMENTO,completamento,1,1,1.0,1.0,case_change
CONTRO-RIVOLUZIONE,controrivoluzione,1,1,1.0,1.0,other_substitution
CLERICO,clerico,1,1,1.0,1.0,case_change
MASSONICA,massonica,1,1,1.0,1.0,case_change
INIZIATA,iniziata,1,1,1.0,1.0,case_change
WhoWantsToLiveForever,Who Wants To Live Forever,1,1,1.0,1.0,whitespace_change
monfo,mondo,1,1,1.0,1.0,other_substitution
OneRepublic,One Republic,1,1,1.0,1.0,whitespace_change
Barça,Barcellona,1,1,1.0,1.0,expansion_or_abbreviation_restore
MilanAl,Milan Al,1,1,1.0,1.0,whitespace_change
semif...,semifinale,1,1,1.0,1.0,expansion_or_abbreviation_restore
silvio,Silvio,1,1,1.0,1.0,case_change
piu,più,1,1,1.0,1.0,accent_or_apostrophe_restore
ODDIOO,Oddio,1,1,1.0,1.0,other_substitution
RAGAZZI,ragazzi,1,1,1.0,1.0,case_change
MIO,mio,1,1,1.0,1.0,case_change
VIDEOOOO,video,1,1,1.0,1.0,repeated_char_reduction
ODDIO,oddio,1,1,1.0,1.0,case_change
STO,sto,1,2,0.5,0.5,case_change
SCLERO,sclero,1,1,1.0,1.0,case_change
CAZZOOO,cazzo,1,1,1.0,1.0,repeated_char_reduction
MERDAAAA,merda,1,1,1.0,1.0,repeated_char_reduction
Uffa,uffa,1,1,1.0,1.0,case_change
Quale,Qual,1,2,1.0,0.5,other_substitution
CI,ci,1,1,1.0,1.0,case_change
PORTATO,portato,1,1,1.0,1.0,case_change
ORLO,orlo,1,1,1.0,1.0,case_change
BARATRO,baratro,1,1,1.0,1.0,case_change
COL,col,1,1,1.0,1.0,case_change
FARE,fare,1,1,1.0,1.0,case_change
PASSO,passo,1,1,1.0,1.0,case_change
AVANTI,avanti,1,1,1.0,1.0,case_change
mo-rosa-,morosa,1,1,1.0,1.0,other_substitution
concord.,concordare,1,1,1.0,1.0,expansion_or_abbreviation_restore
permet.,permettono,1,1,1.0,1.0,expansion_or_abbreviation_restore
iniquita',iniquità,1,1,1.0,1.0,accent_or_apostrophe_restore
stò,sto,1,1,1.0,1.0,accent_or_diacritic_restore
del,dell,1,180,0.5,0.0056,other_substitution
1mo,primo,1,1,1.0,1.0,digit_related_change
21enni,ventunenni,1,1,1.0,1.0,digit_related_change
Fonte,fonte,1,1,1.0,1.0,case_change
po,po',1,1,1.0,1.0,apostrophe_or_symbol_change
spriamo,speriamo,1,1,1.0,1.0,other_substitution
Pareggi,pareggi,1,1,1.0,1.0,case_change
Fio…,Fiorentina,1,1,1.0,1.0,expansion_or_abbreviation_restore
capopolo,capopopolo,1,1,1.0,1.0,expansion_or_abbreviation_restore
BERTONE,Bertone,1,1,1.0,1.0,case_change
SACRIFICI,sacrifici,1,1,1.0,1.0,case_change
PARTE,parte,1,1,1.0,1.0,case_change
ancora,àncora,1,9,1.0,0.1111,accent_or_apostrophe_restore
Cav.,Cavaliere,1,1,1.0,1.0,expansion_or_abbreviation_restore
prefetto,perfetto,1,1,1.0,1.0,other_substitution
noooo,no,1,1,1.0,1.0,repeated_char_reduction
noooooo,no,1,1,1.0,1.0,repeated_char_reduction
maggiorparte,maggior parte,1,1,1.0,1.0,whitespace_change
ammujna,ammuina,1,1,1.0,1.0,other_substitution
cosí,così,1,1,1.0,1.0,accent_or_diacritic_restore
giov,giovedì,1,1,1.0,1.0,expansion_or_abbreviation_restore
Da,da,1,6,1.0,0.1667,case_change
italiot…,italioti,1,1,1.0,1.0,other_substitution
salveremp,salveremo,1,1,1.0,1.0,other_substitution
qs,questo,1,1,1.0,1.0,expansion_or_abbreviation_restore
ns,nostro,1,2,0.5,0.5,expansion_or_abbreviation_restore
Potere,potere,1,1,1.0,1.0,case_change
camera,Camera,1,1,1.0,1.0,case_change
deputati,Deputati,1,1,1.0,1.0,case_change
Intercettato,intercettato,1,1,1.0,1.0,case_change
pare,Pare,1,3,1.0,0.3333,case_change
abbian,abbiano,1,2,0.5,0.5,other_substitution
ricari…,ricariche,1,1,1.0,1.0,expansion_or_abbreviation_restore
gago,Gago,1,1,1.0,1.0,case_change
pepe,Pepe,1,1,1.0,1.0,case_change
juve,Juventus,1,1,1.0,1.0,expansion_or_abbreviation_restore
Nn,Non,1,1,1.0,1.0,other_substitution
sx,sinistro,1,3,0.3333,0.3333,expansion_or_abbreviation_restore
foggia,Foggia,1,1,1.0,1.0,case_change
zeman,Zeman,1,1,1.0,1.0,case_change
pisapia,Pisapia,1,1,1.0,1.0,case_change
moratti,Moratti,1,1,1.0,1.0,case_change
milano,Milano,1,1,1.0,1.0,case_change
ma,Ma,1,51,1.0,0.0196,case_change
sto,questo,1,10,1.0,0.1,expansion_or_abbreviation_restore
gratosoglio,Gratosoglio,1,1,1.0,1.0,case_change
tuo/oi,tuo tuoi,1,1,1.0,1.0,whitespace_change
idolo/i,idolo idoli,1,1,1.0,1.0,whitespace_change
sud,Sud,1,3,1.0,0.3333,case_change
tutteeeeee,tutte,1,1,1.0,1.0,repeated_char_reduction
Heey,Hey,1,1,1.0,1.0,other_substitution
do',dò,1,1,1.0,1.0,accent_or_apostrophe_restore
bel,bell',1,3,1.0,0.3333,apostrophe_or_symbol_change
rass,rassegna,1,1,1.0,1.0,expansion_or_abbreviation_restore
Economia,economia,1,1,1.0,1.0,case_change
Finanze,finanze,1,1,1.0,1.0,case_change
Un,un,1,7,0.5,0.1429,case_change
lino,Lino,1,1,1.0,1.0,case_change
banfi,Banfi,1,1,1.0,1.0,case_change
montagnani,Montagnani,1,1,1.0,1.0,case_change
scorsese,Scorsese,1,1,1.0,1.0,case_change
Cataniaaa,Catania,1,1,1.0,1.0,repeated_char_reduction
sn,sono,1,1,1.0,1.0,expansion_or_abbreviation_restore
grazieeeee,grazie,1,1,1.0,1.0,repeated_char_reduction
notteeee,notte,1,1,1.0,1.0,repeated_char_reduction
Bce,BCE,1,1,1.0,1.0,case_change
giuliano,Giuliano,1,1,1.0,1.0,case_change
zulin,Zulin,1,1,1.0,1.0,case_change
MAVFNC,ma vaffanculo,1,1,1.0,1.0,whitespace_change
Pm,PM,1,1,1.0,1.0,case_change
nellla,nella,1,1,1.0,1.0,repeated_char_reduction
demo,democrazia,1,1,1.0,1.0,expansion_or_abbreviation_restore
EURO,euro,1,1,1.0,1.0,case_change
MESE,mese,1,1,1.0,1.0,case_change
ECCO,Ecco,1,1,1.0,1.0,case_change
QUELLO,quello,1,1,1.0,1.0,case_change
LE,le,1,1,1.0,1.0,case_change
TI,ti,1,2,0.5,0.5,case_change
DICONO,dicono,1,1,1.0,1.0,case_change
