count,lang,category,raw_token,norm_token,pred_token
6,vi,over_normalized,m,m,mày
5,de,wrong_correction,naja,Na ja,na ja
5,de,missed_change,das,Das,das
5,hr,over_normalized,ljudi,ljudi,ljude
5,id,missed_change,@ibethjuntak,[mention],@ibethjuntak
5,id,missed_change,@zenniputry,[mention],@zenniputry
5,id,missed_change,@adimi3_widjaja,[mention],@adimi3_widjaja
5,iden,over_normalized,satu,satu,one
5,iden,missed_change,lu,kamu,lu
5,ja,wrong_correction,た,た 。,でした
5,ja,over_normalized,と,と,そして
5,ja,missed_change,たら,と,たら
5,ja,missed_change,),)。,)
5,ja,wrong_correction,って,と,と言った
5,ja,missed_change,って,は,って
5,ja,missed_change,）,） 。,）
5,ko,wrong_correction,존나,매우,정나
5,nl,wrong_correction,peukje,peuk,cigarette
5,sl,over_normalized,bil,bil,was
5,sl,over_normalized,.,.,je
5,sl,over_normalized,pa,pa,pre
5,sl,wrong_correction,k,ker,ka
5,sl,missed_change,u,v,u
5,sr,over_normalized,mene,mene,me
5,sr,missed_change,ko,kao,ko
5,th,over_normalized,ที่สุด,ที่สุด,extreme
5,th,over_normalized,_,_,จริง
5,vi,wrong_correction,dị,vậy,điên
4,de,missed_change,was,Was,was
4,de,wrong_correction,jaa,Ja,ja
4,de,wrong_correction,hab,habe,hat
4,en,over_normalized,.,.,space
4,hr,over_normalized,sva,sva,sve
4,hr,over_normalized,netko,netko,neki
4,hr,over_normalized,ih,ih,njih
4,hr,missed_change,vjerovatno,vjerojatno,vjerovatno
4,hr,over_normalized,',',''
4,hr,over_normalized,ma,ma,me
4,hr,missed_change,god,god.,god
4,hr,missed_change,sportskihdogađaja,sportskih,sportskihdogađaja
4,id,missed_change,@anggun_cipta,[mention],@anggun_cipta
4,id,missed_change,@bimoanggarayuda,[mention],@bimoanggarayuda
4,iden,over_normalized,you,you,anda
4,iden,over_normalized,.,.,kendati
4,iden,missed_change,gue,saya,gue
4,ja,over_normalized,。,。,です
4,ja,over_normalized,て,て,で
4,ja,missed_change,なさい,なさい 。,なさい
4,ja,wrong_correction,ん,の,ない
4,ja,over_normalized,の,の,です
4,ja,over_normalized,フォロワー,フォロワー,ファン
4,ja,missed_change,ー,,ー
4,nl,missed_change,ik,Ik,ik
4,sl,over_normalized,še,še,šele
4,sl,over_normalized,pa,pa,but
4,sl,over_normalized,samo,samo,only
4,sl,over_normalized,bi,bi,bijo
4,sl,over_normalized,sem,sem,se
4,sl,over_normalized,sem,sem,am
4,sl,over_normalized,.,.,","
4,sr,over_normalized,dobro,dobro,dobre
4,th,over_normalized,คือ,คือ,is
4,th,missed_change,ไง,อย่างไร,ไง
4,th,over_normalized,บังทัน,บังทัน,bangtan
4,th,wrong_correction,ฟิค,ฟิกชัน,fanfiction
4,th,over_normalized,ยังไง,ยังไง,ยัง ไง
4,th,missed_change,ค่า,ค่ะ,ค่า
4,th,over_normalized,ฟิค,ฟิค,นิยาย
4,th,over_normalized,ไร,ไร,อะไร
4,th,over_normalized,ว่า,ว่า,ที่
4,th,over_normalized,ต่อ,ต่อ,continue
4,th,missed_change,ค่ะ,คะ,ค่ะ
4,vi,wrong_correction,c,chị,có
3,de,wrong_correction,hab,Habe,have
3,de,wrong_correction,kenn,Kenne,kenne
3,de,over_normalized,jetzt,jetzt,now
3,de,missed_change,jetzt,Jetzt,jetzt
3,de,missed_change,nerv,Nerv,nerv
3,de,over_normalized,%PosSmiley,%PosSmiley,PosSmiley
3,de,over_normalized,.,.,das
3,de,missed_change,und,Und,und
3,de,wrong_correction,freu,Freue,freue
3,de,wrong_correction,nen,ein,einen
3,de,wrong_correction,Hab,Habe,haben
3,en,over_normalized,1,1,one
3,en,missed_change,2,to,2
3,en,over_normalized,a,a,is
3,en,over_normalized,&,&,and
3,en,missed_change,meth,methamphetamine,meth
3,en,over_normalized,:,:,is
3,hr,missed_change,šta,što,šta
3,hr,over_normalized,stranicu,stranicu,stranice
3,hr,over_normalized,tko,tko,ko
3,hr,missed_change,uvjek,uvijek,uvjek
3,hr,wrong_correction,pisat,pisati,pišat
3,hr,missed_change,kul,cool,kul
3,hr,over_normalized,bit,bit,bit će
3,hr,over_normalized,malo,malo,malovo
3,hr,over_normalized,svi,svi,sve
3,hr,over_normalized,mene,mene,me
3,hr,missed_change,lipi,lijepi,lipi
3,hr,over_normalized,why,why,zasto
3,hr,over_normalized,ću,ću,će
3,hr,over_normalized,:),:),smijeh
3,hr,over_normalized,sad,sad,sada
3,hr,missed_change,tak,tako,tak
3,id,wrong_correction,DI@DR.SATRYA.CONSULTANT,di[mention],DR.SATRYA.CONSULTANT
3,id,missed_change,@jihan_bsy,[mention],@jihan_bsy
3,id,missed_change,Edgar,edgar,Edgar
3,id,missed_change,loe,lo,loe
3,id,missed_change,@sshelineee,[mention],@sshelineee
3,id,missed_change,KAU,kau,KAU
3,id,wrong_correction,NAK,nak,want
3,id,missed_change,fans,fan,fans
3,id,missed_change,@rudymarcoes,[mention],@rudymarcoes
3,id,wrong_correction,No,no,Tidak
3,id,missed_change,make,memakai,make
3,id,missed_change,@dnatasya78,[mention],@dnatasya78
3,id,missed_change,@auliasuharto,[mention],@auliasuharto
3,iden,over_normalized,ini,ini,this
3,iden,over_normalized,not,not,tidak
3,iden,wrong_correction,kaya,seperti,like
3,iden,over_normalized,",",",",，
3,iden,over_normalized,one,one,satu
3,iden,over_normalized,dengan,dengan,with
3,iden,over_normalized,dan,dan,and
3,iden,missed_change,tau,tahu,tau
3,iden,over_normalized,key,key,dia
